gene	S16FT	S16P	S17FT	S17P	S18FT	S18P	S19FT	S19P	S20FT	S20P	S21FT	S21P	S22FT	S22P	S23FT	S23P
ENSG00000086598.10	1316	6125	5272	6810	5766	7067	3702	3263	4017	4573	5215	6004	4265	6704	4854	4413
ENSG00000086619.13	160	340	324	98	400	61	267	945	442	193	458	253	762	198	333	185
ENSG00000086666.18	738	1509	1872	2551	1396	775	1462	989	1414	1570	1550	1532	1214	1714	1750	2453
ENSG00000086696.10	3	168	0	5	6	0	5	41	2	0	3	0	1	3	4	13
ENSG00000086712.12	198	956	878	685	1091	702	534	479	1068	1079	796	913	1128	1108	1041	470
ENSG00000086717.18	5	8	6	1	7	8	8	29	15	11	5	14	2	2	4	12
ENSG00000086730.16	116	139	335	131	161	255	457	700	335	142	97	232	191	153	313	363
ENSG00000086758.15	2206	8185	4898	3699	6965	5722	4138	6198	5158	6628	6194	6747	4935	7557	6220	3628
ENSG00000086827.8	116	449	421	576	466	778	337	408	314	593	434	469	459	517	381	274
ENSG00000086848.14	64	312	254	114	316	231	153	167	326	118	403	209	286	203	190	138
ENSG00000086967.9	5	18	141	1	5	12	76	41	2	4	0	25	0	13	268	3
ENSG00000086991.12	30	111	47	126	141	349	63	128	76	844	106	76	446	112	25	62
ENSG00000087008.15	206	553	286	130	286	232	457	287	233	219	353	310	298	272	280	335
ENSG00000087053.18	350	1087	718	597	1097	1005	658	620	618	812	1223	887	1137	586	900	556
ENSG00000087074.7	787	1103	6714	605	2839	808	3056	1492	12798	1104	3894	2584	8310	1973	4929	4820
ENSG00000087076.8	391	214	451	1025	119	142	669	1611	564	283	518	195	103	50	197	386
ENSG00000087077.12	2458	1830	3749	5374	1558	3949	4044	1270	2535	2815	2369	2545	1341	3918	1788	6341
ENSG00000087085.13	24	38	113	3	55	9	65	20	135	59	36	35	45	22	48	48
ENSG00000087086.14	18535	28495	53025	60954	17214	31795	48525	44012	29489	14218	29119	16711	30708	14375	14224	42094
ENSG00000087087.18	1902	3161	4203	2819	2784	5334	3643	4029	3547	3032	2433	3336	2199	3469	2943	3767
ENSG00000087088.19	1288	1937	1285	1058	538	995	2267	2637	789	409	613	1621	394	1067	893	5024
ENSG00000087095.12	313	1041	475	367	483	256	432	778	371	342	395	584	416	582	527	389
ENSG00000087111.20	501	1519	1275	1628	907	672	1093	937	1016	1300	943	1242	907	910	1155	1114
ENSG00000087116.14	127	492	668	112	390	32	949	567	472	117	5133	846	851	78	219	702
ENSG00000087128.9	0	5	0	0	34	1	0	0	0	0	0	0	0	0	0	0
